pageid,revid,user_rating,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,readability_consensus
18862090,235778902,Stub,10.91,16.2,15.9,41.76,35.9,12.14,27,15.0,9.2,15th and 16th grade
18877690,235782488,Stub,-0.6,18.6,18.2,41.71,37.0,12.45,31,16.5,10.4,18th and 19th grade
589203,235783188,C,40.69,13.1,15.9,19.67,19.7,9.6,344,6.5,10.8,19th and 20th grade
19093338,235811602,Stub,32.9,11.9,13.0,32.36,26.1,11.93,46,6.5,7.2,11th and 12th grade
9309429,235887780,GA,51.18,11.1,13.0,17.93,17.5,8.82,949,17.5,10.0,17th and 18th grade
15787081,235890040,Stub,-11.09,20.5,20.3,47.11,42.5,12.76,48,16.0,11.2,20th and 21th grade
19130329,235897700,C,52.19,10.7,13.0,17.17,16.2,9.03,257,6.0,9.6,9th and 10th grade
203813,235917055,FA,40.69,13.1,15.9,22.57,22.0,9.28,1153,15.0,10.8,10th and 11th grade
5329771,235917702,FA,26.81,14.2,14.6,30.92,27.3,9.73,990,24.0,9.6,9th and 10th grade
19128399,235923913,Start,1.43,17.8,17.1,36.78,32.1,12.27,56,15.0,9.6,17th and 18th grade
81503,235940110,GA,42.72,12.3,13.0,20.01,19.2,9.04,1233,26.5,10.0,12th and 13th grade
19099135,236143677,Start,26.81,14.2,15.9,25.58,22.9,10.67,206,29.0,9.6,28th and 29th grade
17035775,236180590,C,47.12,12.7,14.6,15.79,17.4,8.25,545,57.0,11.6,56th and 57th grade
19169308,236186360,Stub,40.01,15.4,15.9,26.23,29.0,10.35,41,24.5,14.4,15th and 16th grade
19096270,236237698,B,32.22,14.2,15.9,22.62,22.0,8.59,952,13.5,10.8,13th and 14th grade
13937462,236358857,Stub,-17.84,37.6,22.1,22.59,54.1,13.05,141,25.0,37.2,22th and 23th grade
7480365,236383940,FA,28.84,13.5,13.0,25.11,22.2,9.11,786,11.0,8.8,12th and 13th grade
18664179,236384182,FA,-14.13,21.7,18.2,43.1,40.5,10.46,1243,17.0,12.4,21th and 22th grade
4967758,236418307,Start,34.26,13.5,14.6,18.27,17.6,9.51,219,9.0,10.0,9th and 10th grade
2591516,236448089,C,38.66,13.8,15.9,22.46,23.1,10.44,496,18.0,11.6,11th and 12th grade
21594,236642012,GA,56.59,11.1,13.0,18.74,19.2,8.58,597,10.5,11.2,10th and 11th grade
15911234,236651190,Stub,11.93,22.0,21.2,29.72,37.1,10.67,53,58.0,18.8,21th and 22th grade
18987999,236692766,Stub,32.22,14.2,14.6,29.29,27.5,12.33,64,58.0,10.8,14th and 15th grade
12105201,236711945,Start,54.9,13.8,15.9,14.86,20.7,8.92,122,14.5,15.2,14th and 15th grade
367105,236725221,C,13.28,17.4,18.2,27.1,26.6,9.93,506,21.0,11.6,26th and 27th grade
2890085,236732163,C,45.76,11.1,13.0,19.66,17.6,10.0,410,7.0,8.8,19th and 20th grade
15941096,236775750,FA,48.13,12.3,15.9,19.15,19.5,9.23,769,15.0,11.2,19th and 20th grade
18012630,236777082,FA,10.91,16.2,15.9,29.82,26.2,10.01,886,10.5,9.2,15th and 16th grade
1519668,236779728,C,22.41,13.9,14.6,34.45,28.7,9.47,412,7.5,8.0,7th and 8th grade
18897823,236795793,B,32.9,11.9,13.0,30.44,24.7,9.82,150,8.5,7.2,11th and 12th grade
19149827,236803123,Stub,12.94,15.4,14.6,35.55,29.7,11.48,50,13.0,8.4,14th and 15th grade
13408322,236815770,Stub,32.9,11.9,13.0,33.22,26.8,11.72,49,6.5,7.2,11th and 12th grade
2738873,236863666,C,48.13,12.3,14.6,22.86,22.5,8.66,400,19.0,11.2,22th and 23th grade
725585,236886467,GA,28.84,13.5,14.6,27.08,23.7,10.12,547,7.5,8.8,23th and 24th grade
6987282,236912938,FA,49.15,11.9,13.0,19.21,19.2,8.09,1487,12.5,10.8,12th and 13th grade
15988543,236936851,GA,26.81,14.2,13.0,27.5,24.6,8.09,877,15.0,9.6,14th and 15th grade
5412945,236957587,Start,40.34,11.1,13.0,22.73,19.0,10.43,46,6.0,7.6,10th and 11th grade
2307309,237003742,B,37.3,12.3,11.2,22.15,19.5,9.1,321,10.5,8.8,11th and 12th grade
9192393,237064116,Start,32.57,16.2,17.1,22.98,26.2,10.16,226,53.5,14.0,22th and 23th grade
38234,237090989,C,39.0,15.8,17.1,22.58,26.8,10.5,502,19.0,14.8,26th and 27th grade
1792215,237102605,GA,33.24,13.8,14.6,22.8,22.1,9.34,357,8.5,10.4,22th and 23th grade
2957988,237117453,Start,32.22,14.2,15.9,18.69,18.7,10.48,203,11.5,10.8,18th and 19th grade
18361733,237123217,GA,24.78,15.0,14.6,24.02,22.9,9.34,1234,6.0,10.4,14th and 15th grade
19234596,237144184,Start,60.31,7.6,11.2,23.35,18.2,8.41,180,13.0,6.4,7th and 8th grade
233761,237163561,GA,40.69,13.1,14.6,19.85,19.8,8.42,2991,12.5,10.8,19th and 20th grade
73370,237181419,FA,43.73,11.9,13.0,22.86,21.0,8.22,1619,12.5,9.6,12th and 13th grade
260433,237219510,C,42.38,10.3,13.0,23.88,19.1,9.68,447,10.5,6.8,10th and 11th grade
8031694,237244459,C,58.62,10.3,13.0,14.91,15.3,9.27,388,12.5,10.4,12th and 13th grade
19248650,237321698,Stub,72.16,7.2,11.2,10.79,9.9,8.01,68,5.0,8.4,10th and 11th grade
19247735,237334892,Start,55.24,9.5,13.0,16.35,14.5,9.64,309,8.5,8.4,9th and 10th grade
11370292,237349516,B,45.76,11.1,13.0,18.15,16.2,9.0,403,8.0,8.8,8th and 9th grade
1109483,237406508,FA,5.83,18.2,17.1,28.49,27.4,9.65,644,21.0,11.2,27th and 28th grade
954284,237410306,Stub,56.59,11.1,11.2,20.48,20.8,8.96,131,13.5,11.2,20th and 21th grade
1790559,237447398,GA,34.26,13.5,14.6,23.55,21.9,9.71,347,10.5,10.0,9th and 10th grade
18836853,237511746,C,25.8,14.6,14.6,30.05,27.4,10.13,319,11.0,10.0,14th and 15th grade
8630354,237511752,C,37.64,14.2,17.1,17.18,18.8,9.64,461,18.0,12.0,17th and 18th grade
10879999,237551044,Start,56.25,9.1,11.2,19.89,16.7,9.17,371,9.0,8.0,8th and 9th grade
19064510,237587336,GA,19.71,17.0,18.2,21.7,23.2,9.52,375,22.0,12.4,21th and 22th grade
14477343,237593761,C,19.03,19.3,20.3,26.87,31.5,10.77,457,13.0,16.0,12th and 13th grade
19077473,237595900,GA,50.16,11.5,14.6,18.68,18.8,8.57,618,13.5,10.4,18th and 19th grade
586681,237619706,Start,9.89,16.6,17.1,34.57,30.4,11.15,161,22.0,9.6,16th and 17th grade
9008254,237624924,FA,45.76,11.1,14.6,23.08,20.6,8.72,2368,13.5,8.8,8th and 9th grade
48918,237625087,FA,41.7,12.7,14.6,21.0,20.4,9.04,1445,30.0,10.4,20th and 21th grade
16458595,237634807,C,23.77,15.4,17.1,26.46,25.0,10.13,689,7.5,10.8,10th and 11th grade
18340918,237721470,GA,30.87,12.7,13.0,29.46,24.6,9.5,712,12.0,8.0,12th and 13th grade
1615889,237722206,B,47.79,10.3,13.0,19.54,16.6,7.65,461,13.5,8.0,7th and 8th grade
11977489,237761265,Stub,27.49,18.1,19.3,19.27,25.7,11.46,69,18.0,16.0,18th and 19th grade
60026,237794027,FA,49.15,11.9,15.9,18.74,18.8,7.36,2818,12.5,10.8,18th and 19th grade
2103725,237794222,FA,37.64,14.2,15.9,23.33,24.0,8.42,1445,12.0,12.0,11th and 12th grade
19257457,237797315,C,47.79,10.3,13.0,21.05,17.8,8.51,363,6.0,8.0,17th and 18th grade
12310747,237800638,Start,13.95,15.0,15.9,29.64,24.7,11.42,132,10.5,8.0,10th and 11th grade
19201126,237854735,Stub,-29.7,19.4,11.2,49.79,38.9,12.38,28,5.5,5.2,5th and 6th grade
12360679,237927021,Stub,3.46,17.0,17.1,27.32,24.0,12.31,62,16.0,8.8,16th and 17th grade
19110004,237934215,GA,11.92,15.8,17.1,30.16,26.3,9.88,281,11.0,8.8,15th and 16th grade
181096,237947784,B,50.16,11.5,14.6,18.74,18.5,9.31,686,9.0,10.4,18th and 19th grade
192713,237998723,C,47.12,12.7,14.6,17.64,18.8,8.66,1273,11.0,11.6,10th and 11th grade
14393809,237999311,B,30.2,15.0,17.1,20.25,20.9,10.71,298,14.0,11.6,20th and 21th grade
12754210,238002255,GA,42.72,12.3,14.6,19.32,18.4,8.66,572,19.5,10.0,19th and 20th grade
4752014,238011924,Start,48.13,12.3,14.6,16.31,17.3,9.21,197,61.5,11.2,61th and 62th grade
311144,238046383,FA,43.73,11.9,14.6,18.33,17.3,8.55,1552,18.0,9.6,17th and 18th grade
19294265,238049115,Stub,20.38,14.6,17.1,41.64,35.4,13.05,76,30.5,8.8,30th and 31th grade
20833,238137602,C,44.07,13.8,14.6,19.85,22.0,9.46,792,16.5,12.8,21th and 22th grade
670994,238160320,GA,30.2,15.0,15.9,21.12,21.8,9.37,1043,16.5,11.6,21th and 22th grade
17732469,238180258,GA,27.15,16.2,17.1,24.66,26.3,9.27,309,8.0,12.8,12th and 13th grade
660592,238188575,FA,41.7,12.7,14.6,24.25,22.9,8.33,1192,10.5,10.4,10th and 11th grade
242590,238215285,GA,24.78,15.0,17.1,23.9,22.8,9.64,1445,18.0,10.4,17th and 18th grade
3553525,238236182,Start,37.3,12.3,14.6,25.0,21.8,10.92,170,19.5,8.8,24th and 25th grade
5155831,238290617,Start,38.31,11.9,14.6,20.65,17.7,9.44,134,32.0,8.4,11th and 12th grade
18752521,238298752,GA,28.17,15.8,15.9,21.64,23.2,10.0,435,19.5,12.4,15th and 16th grade
9141957,238331132,C,46.1,13.0,14.6,15.9,17.8,9.04,431,10.5,12.0,10th and 11th grade
6211800,238416047,GA,28.84,13.5,14.6,33.46,28.8,7.84,776,4.5,8.8,28th and 29th grade
1148659,238520792,C,42.72,12.3,14.6,20.65,19.5,8.72,617,17.0,10.0,20th and 21th grade
19328372,238572126,Stub,22.75,15.8,15.9,25.47,24.9,10.64,88,31.0,11.2,15th and 16th grade
988994,238586500,GA,15.31,16.6,15.9,34.17,31.4,10.25,495,16.0,10.8,15th and 16th grade
18902751,238618013,Stub,22.41,13.9,15.9,22.1,18.5,11.53,91,13.5,8.0,13th and 14th grade
301309,238630809,C,41.7,12.7,15.9,16.13,16.7,9.27,562,14.0,10.4,16th and 17th grade
19333698,238652386,Stub,-10.41,18.2,15.9,40.42,33.2,13.59,51,11.5,7.6,7th and 8th grade
8032018,238677394,Stub,-110.58,33.9,22.9,64.44,55.5,14.07,88,14.5,10.4,14th and 15th grade
11903526,238720162,FA,51.18,11.1,13.0,19.84,18.7,8.38,814,27.0,10.0,9th and 10th grade
1222129,238720281,FA,31.21,14.6,15.9,25.59,24.7,9.11,1007,20.0,11.2,25th and 26th grade
18494414,238721583,FA,18.35,15.4,15.9,31.38,28.0,8.51,722,12.5,9.6,15th and 16th grade
2524643,238770170,Start,36.28,12.7,14.6,24.77,22.2,10.72,171,7.5,9.2,24th and 25th grade
12561869,238779856,C,-14.47,32.2,26.7,35.0,54.2,12.47,709,10.5,29.2,26th and 27th grade
8326,238792968,Start,59.64,9.9,11.2,21.0,19.9,8.85,66,8.0,10.0,9th and 10th grade
19350299,238904297,Stub,-23.61,23.3,20.3,35.74,35.1,12.81,68,54.5,12.8,12th and 13th grade
1347187,238935071,C,23.77,15.4,17.1,26.86,25.5,11.2,205,13.5,10.8,10th and 11th grade
12040291,238964777,C,25.8,14.6,15.9,23.26,21.5,10.05,282,16.0,10.0,15th and 16th grade
19360297,239065920,Stub,23.77,15.4,15.9,33.47,30.8,12.31,85,13.5,10.8,15th and 16th grade
4406991,239161685,Start,21.4,14.3,15.9,25.81,22.0,11.41,167,12.5,8.4,12th and 13th grade
1308131,239187678,Start,45.76,11.1,14.6,21.81,19.1,10.32,57,7.0,8.8,10th and 11th grade
1666057,239193918,Start,34.26,13.5,14.6,25.23,23.1,10.17,331,14.0,10.0,13th and 14th grade
222567,239218148,C,19.71,17.0,19.3,26.28,27.0,11.11,355,28.5,12.4,26th and 27th grade
932207,239258106,B,44.75,11.5,14.6,15.14,14.2,8.98,404,7.5,9.2,14th and 15th grade
16760917,239272883,Stub,12.94,15.4,15.9,32.59,27.6,12.04,40,8.5,8.4,15th and 16th grade
19373347,239309426,Stub,60.31,7.6,11.2,18.54,14.4,9.75,73,6.0,6.4,7th and 8th grade
632358,239367174,B,26.81,14.2,15.9,25.41,22.9,10.5,240,14.5,9.6,14th and 15th grade
2582871,239369381,Start,20.38,14.6,15.9,27.78,24.2,11.0,159,12.0,8.8,27th and 28th grade
4869210,239399474,B,49.15,11.9,14.6,16.95,17.3,8.88,889,5.5,10.8,16th and 17th grade
19293455,239405885,Stub,-18.88,19.4,19.3,41.75,34.2,13.88,26,11.0,7.6,19th and 20th grade
5378659,239428716,Start,52.19,10.7,13.0,16.65,15.9,9.07,162,6.5,9.6,9th and 10th grade
12324333,239462461,C,31.21,14.6,17.1,20.77,21.1,9.32,664,8.5,11.2,20th and 21th grade
18003575,239467191,Start,25.8,14.6,15.9,25.29,23.2,10.94,234,9.0,10.0,15th and 16th grade
4196615,239475716,Start,43.39,9.9,11.2,25.91,20.3,9.96,134,8.0,6.4,9th and 10th grade
2718081,239494641,Stub,26.81,14.2,17.1,25.58,23.0,10.34,35,10.5,9.6,10th and 11th grade
7352594,239543561,Stub,13.95,15.0,14.6,34.27,28.4,11.15,45,7.5,8.0,14th and 15th grade
662987,239543684,FA,14.29,17.0,15.9,27.73,26.5,9.95,831,28.0,11.2,27th and 28th grade
896953,239544055,FA,-0.6,18.6,17.1,34.57,31.4,9.89,1208,20.0,10.4,9th and 10th grade
896360,239551715,B,66.07,9.5,11.2,13.69,14.8,8.56,248,8.0,10.8,10th and 11th grade
13062770,239554262,B,-5.0,18.2,17.1,36.13,30.8,9.99,701,9.0,8.8,8th and 9th grade
2830130,239571810,Start,57.61,10.7,13.0,13.87,14.9,8.13,92,8.0,10.8,10th and 11th grade
15472189,239575151,Stub,-5.33,22.4,23.7,39.17,41.2,12.53,63,29.0,15.6,12th and 13th grade
14647335,239581792,Start,33.92,11.5,13.0,27.54,22.1,11.74,49,6.0,6.8,11th and 12th grade
19324604,239607208,GA,51.18,11.1,13.0,22.57,21.0,9.82,153,6.0,10.0,9th and 10th grade
18669916,239621530,Stub,-39.51,25.2,22.1,46.64,43.4,13.52,43,19.5,12.4,19th and 20th grade
8004214,239669469,Stub,-1.95,17.0,15.9,44.3,36.3,12.06,71,13.0,7.6,12th and 13th grade
2845453,239792224,C,56.25,9.1,11.2,17.91,15.2,8.57,445,18.0,8.0,17th and 18th grade
6938916,239824585,Stub,29.86,13.1,15.9,30.22,25.8,13.32,76,23.0,8.4,12th and 13th grade
4518468,239828913,GA,36.28,12.7,13.0,24.02,21.3,8.92,205,16.0,9.2,12th and 13th grade
6594038,239843232,Stub,-1.95,17.0,15.9,40.19,32.8,10.78,29,7.0,7.6,7th and 8th grade
17658450,239881221,C,39.33,11.5,13.0,27.72,23.3,9.15,253,25.5,8.0,11th and 12th grade
1050900,239908703,Start,32.9,11.9,14.6,38.38,31.0,10.96,22,8.0,7.2,11th and 12th grade
2318999,239959413,Start,42.72,12.3,15.9,18.16,17.7,10.58,420,16.5,10.0,17th and 18th grade
18304123,239970352,Stub,53.21,10.3,13.0,17.58,16.4,9.41,176,12.0,9.2,9th and 10th grade
4952984,239970748,Stub,-29.36,21.3,18.2,48.37,40.5,13.15,74,13.0,8.4,12th and 13th grade
16458159,239972241,C,59.64,9.9,13.0,14.39,14.7,8.37,251,6.0,10.0,9th and 10th grade
10633633,240061951,Stub,70.13,7.9,11.2,17.35,16.1,8.62,44,8.5,9.2,8th and 9th grade
19417707,240160847,Stub,7.86,17.4,17.1,34.46,31.2,12.57,32,28.0,10.4,12th and 13th grade
19413609,240224253,Stub,55.24,9.5,14.6,16.06,14.0,9.59,69,9.0,8.4,9th and 10th grade
607950,240347286,FA,40.69,13.1,14.6,21.29,20.9,8.89,1150,10.5,10.8,10th and 11th grade
915266,240347615,FA,20.38,14.6,15.9,28.88,24.8,9.0,1095,5.0,8.8,8th and 9th grade
3525717,240377054,GA,47.79,10.3,11.2,23.19,19.5,9.07,470,24.5,8.0,10th and 11th grade
19435123,240380853,C,46.78,10.7,13.0,23.55,20.2,8.13,533,4.0,8.4,10th and 11th grade
19436392,240397085,Stub,21.4,14.3,14.6,26.97,23.0,11.45,44,10.5,8.4,14th and 15th grade
9564779,240422600,B,36.28,12.7,14.6,20.71,18.9,10.99,54,7.0,9.2,20th and 21th grade
2039364,240516307,Start,39.33,11.5,13.0,25.34,21.3,10.88,149,6.5,8.0,11th and 12th grade
19435288,240521156,Start,44.41,9.6,11.2,28.05,21.8,9.28,215,13.5,6.0,9th and 10th grade
2092949,240567131,C,44.75,11.5,13.0,21.75,19.7,9.31,389,18.0,9.2,21th and 22th grade
1094970,240654587,Stub,43.73,11.9,14.6,21.7,19.9,10.52,73,11.0,9.6,10th and 11th grade
5757849,240670734,Stub,22.41,13.9,14.6,28.36,23.6,10.51,78,6.5,8.0,23th and 24th grade
6237476,240728014,GA,45.76,11.1,14.6,23.02,20.2,8.64,592,11.0,8.8,10th and 11th grade
3653490,240738056,B,39.67,13.4,15.9,22.46,22.1,9.39,505,25.5,11.2,25th and 26th grade
3881829,240774735,Start,38.31,11.9,14.6,25.17,21.8,10.04,205,13.0,8.4,11th and 12th grade
3479210,240842817,Stub,-24.29,19.4,14.6,40.06,31.6,12.79,18,5.0,6.4,12th and 13th grade
19465614,240858536,Start,18.01,13.5,13.0,39.77,31.7,10.65,77,7.5,6.4,12th and 13th grade
7933761,240878847,Stub,13.95,15.0,15.9,35.15,29.1,10.94,32,7.5,8.0,7th and 8th grade
7211556,240885417,C,60.65,9.5,13.0,16.82,16.1,8.18,378,11.0,9.6,9th and 10th grade
5794426,240940626,Start,22.41,13.9,15.9,27.72,23.1,10.47,120,20.0,8.0,27th and 28th grade
19093904,240993926,GA,33.24,13.8,14.6,25.58,24.0,9.11,1066,7.5,10.4,25th and 26th grade
92121,241019191,C,59.3,8.0,11.2,25.16,20.1,7.68,905,5.0,6.8,7th and 8th grade
1040109,241019924,C,18.35,15.4,17.1,23.96,21.8,9.96,599,10.5,9.6,9th and 10th grade
299534,241026446,C,40.69,13.1,14.6,21.06,20.8,9.32,601,11.5,10.8,20th and 21th grade
18798090,241029244,FA,25.8,14.6,15.9,25.29,23.3,8.89,1260,19.0,10.0,18th and 19th grade
8114812,241061154,Stub,-19.89,19.8,17.1,46.51,38.4,12.63,81,13.0,8.0,12th and 13th grade
13651538,241071186,GA,17.34,15.8,14.6,27.79,25.4,9.74,603,13.5,10.0,9th and 10th grade
761443,241242002,FA,26.81,14.2,14.6,22.74,21.0,9.64,712,7.5,9.6,9th and 10th grade
5058442,241242249,FA,52.19,10.7,13.0,19.43,18.1,8.28,606,25.5,9.6,9th and 10th grade
305778,241256204,Start,46.78,10.7,13.0,18.73,16.1,9.56,423,15.5,8.4,15th and 16th grade
125145,241278985,B,40.34,11.1,13.0,23.48,19.3,9.0,613,6.0,7.6,12th and 13th grade
11168946,241302489,B,44.75,11.5,14.6,24.19,21.6,9.53,71,13.0,9.2,9th and 10th grade
6760897,241335041,C,38.66,13.8,14.6,19.09,20.1,9.25,130,11.5,11.6,11th and 12th grade
1138424,241350111,C,35.27,13.1,15.9,25.35,22.8,9.34,447,11.5,9.6,11th and 12th grade
5971314,241384901,C,23.09,17.7,21.2,22.23,25.8,10.47,484,14.0,14.4,13th and 14th grade
6669390,241404365,C,-10.07,20.1,17.1,34.69,31.7,11.13,290,11.0,10.8,10th and 11th grade
9441391,241412876,C,31.21,14.6,15.9,20.54,20.6,8.57,716,31.0,11.2,20th and 21th grade
17737782,241545930,GA,-9.06,19.7,15.9,40.2,36.0,10.21,309,19.0,10.4,19th and 20th grade
19509108,241553401,Stub,25.46,12.7,14.6,33.86,26.8,12.78,39,6.0,6.8,12th and 13th grade
14286984,241573426,Stub,-42.56,26.4,23.7,44.62,43.2,15.19,57,69.5,13.6,23th and 24th grade
544281,241596420,Start,31.21,14.6,15.9,24.43,23.8,9.83,499,10.5,11.2,23th and 24th grade
9728541,241624813,Start,50.16,11.5,14.6,22.39,21.3,9.03,256,8.0,10.4,9th and 10th grade
5026481,241629375,Stub,-19.89,19.8,17.1,44.3,36.7,12.96,75,11.5,8.0,12th and 13th grade
1221761,241666522,GA,45.09,13.4,17.1,18.16,20.5,9.44,660,16.5,12.4,16th and 17th grade
74337,241706439,FA,16.32,16.2,17.1,26.92,25.1,9.55,973,22.0,10.4,9th and 10th grade
19498535,241837653,C,-5.67,20.5,21.2,29.3,29.4,12.15,97,11.0,12.4,20th and 21th grade
19528190,241865401,Start,68.77,6.4,11.2,22.6,17.7,8.86,126,13.5,6.4,8th and 9th grade
13645,241893158,GA,19.37,15.0,14.6,26.8,23.7,9.07,3504,18.5,9.2,14th and 15th grade
18276506,241916274,FA,51.18,11.1,13.0,20.36,19.3,8.43,1449,9.0,10.0,9th and 10th grade
17332989,241917791,FA,47.79,10.3,13.0,20.18,17.2,8.49,877,26.5,8.0,7th and 8th grade
12766321,241918251,FA,-30.38,21.7,15.9,44.95,38.0,9.06,2580,19.5,8.8,8th and 9th grade
19536396,241958526,Stub,-8.38,17.4,17.1,46.1,36.9,14.14,101,18.0,6.8,17th and 18th grade
40525,242047175,C,24.44,13.1,14.6,29.11,23.5,9.85,479,19.5,7.2,23th and 24th grade
18179957,242132718,Stub,53.21,10.3,13.0,25.87,22.8,10.22,53,16.5,9.2,9th and 10th grade
1035744,242133348,B,36.28,12.7,15.9,21.75,19.6,10.43,174,10.5,9.2,10th and 11th grade
1763702,242196591,Stub,17.34,15.8,17.1,31.44,28.1,10.94,40,11.5,10.0,15th and 16th grade
7029122,242197362,Start,35.27,13.1,15.9,23.32,21.1,10.17,209,7.5,9.6,9th and 10th grade
7431038,242256251,C,59.64,9.9,13.0,14.97,15.0,8.75,660,10.5,10.0,9th and 10th grade
533769,242275769,C,43.73,11.9,14.6,19.72,18.6,9.16,1300,12.5,9.6,9th and 10th grade
9581347,242290157,B,-0.6,18.6,17.1,28.25,26.1,9.75,630,9.0,10.4,9th and 10th grade
18231009,242401223,Stub,18.01,13.5,13.0,32.87,25.9,10.68,63,8.0,6.4,12th and 13th grade
254091,242409341,FA,41.7,12.7,14.6,18.74,18.5,8.79,1688,17.5,10.4,18th and 19th grade
19566434,242424543,C,22.75,15.8,17.1,24.95,24.3,9.79,445,9.0,11.2,24th and 25th grade
1160728,242470265,C,56.93,13.0,14.6,21.77,25.4,9.52,386,16.5,14.4,14th and 15th grade
8412633,242504177,Start,3.8,18.9,19.3,29.65,29.2,12.68,88,60.0,12.0,29th and 30th grade
12268975,242507847,Stub,39.33,11.5,13.0,21.92,18.4,9.99,32,7.0,8.0,11th and 12th grade
8759049,242523523,Stub,47.79,10.3,13.0,22.27,18.9,9.06,132,13.0,8.0,12th and 13th grade
6417142,242530169,Start,60.65,9.5,13.0,19.2,17.9,9.75,89,7.5,9.6,9th and 10th grade
10568,242653498,FA,41.7,12.7,14.6,22.28,21.4,8.66,1548,14.5,10.4,14th and 15th grade
15027361,242737183,B,59.64,9.9,13.0,14.62,14.6,8.48,409,16.0,10.0,9th and 10th grade
19590649,242738484,B,40.69,13.1,14.6,21.93,21.6,8.98,424,19.5,10.8,21th and 22th grade
2011213,242739428,GA,40.69,13.1,14.6,20.37,20.0,9.06,513,7.5,10.8,19th and 20th grade
19410253,242759193,B,42.72,12.3,13.0,23.61,22.1,8.8,192,23.5,10.0,23th and 24th grade
13829980,242774686,Start,49.15,11.9,13.0,14.34,15.1,9.05,140,7.5,10.8,10th and 11th grade
11332526,242826673,C,50.16,11.5,14.6,15.9,16.1,9.28,254,21.0,10.4,15th and 16th grade
16225974,242881024,FA,40.69,13.1,15.9,21.41,21.1,8.8,1409,13.0,10.8,12th and 13th grade
17218895,242888532,Stub,46.1,13.0,14.6,22.51,23.3,9.46,125,17.0,12.0,22th and 23th grade
19013958,242891275,Stub,-13.12,21.3,21.2,37.01,35.1,13.46,69,27.5,12.0,27th and 28th grade
17947043,242966895,Stub,5.49,16.2,15.9,33.17,27.5,12.8,24,11.0,8.0,15th and 16th grade
16210554,242976488,Stub,9.89,16.6,17.1,36.2,31.9,11.77,72,14.5,9.6,16th and 17th grade
17358776,243004138,Stub,39.67,13.4,17.1,23.56,23.2,10.26,49,7.0,11.2,23th and 24th grade
19190153,243052845,GA,14.97,14.7,14.6,32.94,27.0,9.81,676,7.0,7.6,14th and 15th grade
6237735,243070802,FA,38.66,13.8,14.6,24.02,24.0,8.38,1061,13.0,11.6,23th and 24th grade
19613189,243072073,Stub,27.15,16.2,18.2,20.48,22.9,9.86,112,8.5,12.8,12th and 13th grade
19613621,243078758,Stub,-16.5,20.5,20.3,35.96,32.2,12.45,103,27.0,10.0,20th and 21th grade
12804491,243114892,Stub,5.83,18.2,20.3,32.2,30.3,11.36,98,12.0,11.2,11th and 12th grade
7430554,243156797,Stub,30.87,12.7,14.6,31.66,26.3,10.85,43,7.5,8.0,7th and 8th grade
3633138,243190636,C,35.27,13.1,14.6,19.9,18.3,8.79,152,6.5,9.6,19th and 20th grade
317572,243192963,GA,45.76,11.1,14.6,19.14,17.3,9.47,710,22.0,8.8,8th and 9th grade
8025991,243193544,Start,29.86,13.1,14.6,19.31,16.6,9.84,242,12.5,8.4,12th and 13th grade
5018563,243209651,GA,27.83,13.9,14.6,35.44,30.6,8.26,823,3.0,9.2,30th and 31th grade
9939257,243270212,C,38.31,11.9,14.6,21.81,18.9,9.89,715,11.0,8.4,11th and 12th grade
8970148,243305821,Start,8.88,17.0,15.9,33.35,30.2,10.58,158,11.0,10.0,10th and 11th grade
17256357,243314800,FA,34.26,13.5,15.9,25.52,23.6,8.67,1102,7.5,10.0,25th and 26th grade
15641381,243314878,FA,41.7,12.7,14.6,22.04,21.4,8.96,610,8.5,10.4,8th and 9th grade
9952613,243369881,Start,54.56,11.9,15.9,20.43,21.6,9.16,316,26.5,12.0,11th and 12th grade
296994,243392222,GA,20.38,14.6,14.6,28.19,24.5,9.46,2040,13.5,8.8,14th and 15th grade
7378962,243400799,Stub,29.86,13.1,14.6,29.11,24.7,11.13,42,9.0,8.4,8th and 9th grade
18287622,243420104,Stub,17.0,13.9,14.6,28.06,22.4,12.13,19,8.0,6.8,14th and 15th grade
17696787,243423453,GA,35.27,13.1,13.0,24.13,22.1,7.95,1193,6.5,9.6,12th and 13th grade
17666378,243438255,GA,37.3,12.3,14.6,20.41,18.3,10.56,144,9.0,8.8,8th and 9th grade
1624784,243539626,GA,32.22,14.2,14.6,22.33,21.8,9.55,378,10.5,10.8,10th and 11th grade
1628688,243564092,FA,59.64,9.9,13.0,19.72,19.0,7.97,1402,17.5,10.0,9th and 10th grade
31410560,243564891,FA,23.77,15.4,17.1,26.16,24.9,9.93,929,6.5,10.8,24th and 25th grade
396459,243566396,C,35.61,15.0,17.1,22.8,24.5,9.74,403,15.5,12.8,24th and 25th grade
6891782,243620002,Stub,33.24,13.8,15.9,25.87,24.3,9.87,127,11.5,10.4,11th and 12th grade
2179065,243627867,Start,28.84,13.5,15.9,24.07,21.3,10.63,111,6.0,8.8,15th and 16th grade
19534959,243707980,GA,24.11,17.4,18.2,26.81,29.2,10.31,603,19.5,14.0,26th and 27th grade
7008426,243728551,GA,21.74,16.2,17.1,33.53,31.9,9.09,840,55.5,11.6,55th and 56th grade
17451300,243756815,C,52.19,10.7,13.0,16.59,15.7,9.42,242,18.5,9.6,9th and 10th grade
